language_skills,accreditation,reference,ma,female,certificate,ba_quality,exp_highquality,callback,extracurricular_skills,skillspeaking,skillsocialper,skillwriting
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,70.0,50.0,67.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.0,50.0,67.0
0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1,70.0,50.0,67.0
1.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0,80.0,70.0,65.0
0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1,80.0,70.0,65.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,80.0,70.0,65.0
0.0,0,0,0.0,1.0,0.0,1.0,0.0,1.0,1,70.0,50.0,67.0
0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,50.0,67.0
1.0,0,0,1.0,1.0,0.0,1.0,0.0,1.0,1,70.0,50.0,67.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,80.0,70.0,65.0
0.0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0,80.0,70.0,65.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,80.0,70.0,65.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1,70.0,50.0,67.0
0.0,0,1,0.0,0.0,0.0,1.0,1.0,0.0,0,70.0,50.0,67.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,70.0,50.0,67.0
0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,1,85.0,67.0,69.0
0.0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,85.0,67.0,69.0
0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,85.0,67.0,69.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,80.0,70.0,65.0
0.0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1,80.0,70.0,65.0
0.0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,80.0,70.0,65.0
1.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,79.0,64.0,73.0
0.0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1,79.0,64.0,73.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,79.0,64.0,73.0
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,70.0,50.0,67.0
1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.0,50.0,67.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1,70.0,50.0,67.0
0.0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,1,70.0,57.0,73.0
0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,70.0,57.0,73.0
1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,70.0,57.0,73.0
