female,callback,skillspeaking,skillsocialper,east_asian,south_asian,anglo,vancouver,toronto,montreal
1,0,54.90196078431372,31.25,0,0,1,0,1,0
0,0,54.90196078431372,31.25,0,1,0,0,1,0
0,0,54.90196078431372,31.25,0,1,0,0,1,0
0,0,54.90196078431372,31.25,1,0,0,0,1,0
1,0,74.50980392156862,62.5,0,1,0,0,1,0
0,0,74.50980392156862,62.5,0,0,1,0,1,0
0,0,74.50980392156862,62.5,1,0,0,0,1,0
0,0,74.50980392156862,62.5,0,1,0,0,1,0
1,1,54.90196078431372,31.25,0,0,0,0,1,0
1,1,54.90196078431372,31.25,0,1,0,0,1,0
0,0,54.90196078431372,31.25,1,0,0,0,1,0
1,1,54.90196078431372,31.25,0,1,0,0,1,0
0,0,74.50980392156862,62.5,0,0,1,0,1,0
0,0,74.50980392156862,62.5,0,1,0,0,1,0
1,0,74.50980392156862,62.5,1,0,0,0,1,0
0,0,74.50980392156862,62.5,0,1,0,0,1,0
1,0,54.90196078431372,31.25,1,0,0,0,1,0
0,0,54.90196078431372,31.25,0,0,1,0,1,0
0,0,54.90196078431372,31.25,1,0,0,0,1,0
0,0,54.90196078431372,31.25,0,1,0,0,1,0
0,0,84.31372549019608,57.8125,1,0,0,0,1,0
1,0,84.31372549019608,57.8125,1,0,0,0,1,0
0,0,84.31372549019608,57.8125,0,0,0,0,1,0
0,0,84.31372549019608,57.8125,0,1,0,0,1,0
0,0,74.50980392156862,62.5,1,0,0,0,1,0
1,0,74.50980392156862,62.5,1,0,0,0,1,0
1,0,74.50980392156862,62.5,0,0,1,0,1,0
1,0,74.50980392156862,62.5,0,1,0,0,1,0
1,0,72.54901960784314,53.125,0,0,1,0,1,0
0,0,72.54901960784314,53.125,1,0,0,0,1,0
0,0,72.54901960784314,53.125,0,1,0,0,1,0
0,0,72.54901960784314,53.125,0,1,0,0,1,0
0,0,54.90196078431372,31.25,0,1,0,0,1,0
0,0,54.90196078431372,31.25,1,0,0,0,1,0
